address,action1,time1,action2,time2,interval_min,volume1,volume2
0xede0df61313246a214a90707014ce77c36ac252d,buy,2026-05-28 01:03:23,sell,2026-05-28 01:04:59,1.6,900000000.0,780455492.58
0xede0df61313246a214a90707014ce77c36ac252d,sell,2026-05-28 01:04:59,buy,2026-05-28 01:09:11,4.2,780455492.58,30000000.0
0x16e1061688c09deda3c039a529d0b0a8b44d435d,buy,2026-05-28 01:00:59,sell,2026-05-28 02:00:11,59.2,68114922.15,68114922.15
0xd3d791a9f0a57b6b88ffc00d6577115526ae6c50,buy,2026-05-28 04:55:11,sell,2026-05-28 05:10:11,15.0,10917964983.0,10917964983.0
0x00000000f3c6887fa69a9e4b5cf255d043ba7414,sell,2026-05-28 04:35:11,buy,2026-05-28 04:35:11,0.0,1155436.72,1155436.72
0x503eddfdac1018f5e20f71fe18af43ea05b1ac6c,buy,2026-05-27 18:15:23,sell,2026-05-27 18:22:59,7.6,1269319857.0,1269319857.0
0x388490961e932e8790adb11a7321cedff900fb52,buy,2026-05-27 15:16:47,sell,2026-05-27 15:22:59,6.2,263739430.75,263739430.75
0x4dfdb9c9027d902efc8e52c02bacd1e04b7f70b0,buy,2026-05-28 04:41:23,sell,2026-05-28 04:49:35,8.2,9230011833.98,9230011833.98
0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,sell,2026-05-28 03:25:59,buy,2026-05-28 03:25:59,0.0,420871.47,420871.47
0x195ef6a07f296b122987a8bde28410ff0f092a10,buy,2026-05-27 21:56:35,sell,2026-05-27 21:56:47,0.2,1.0,1.0
0x0a76f380548222278872920acde7ba3279e36453,buy,2026-05-28 03:20:47,sell,2026-05-28 03:27:11,6.4,337623836.0,337623836.0
0xb685760ebd368a891f27ae547391f4e2a289895b,buy,2026-05-27 13:16:11,sell,2026-05-27 13:39:11,23.0,11904996.32,5806546.13
0xb685760ebd368a891f27ae547391f4e2a289895b,buy,2026-05-28 05:36:47,sell,2026-05-28 05:44:23,7.6,29737500.0,15213650.8
0xd4d2960e1e58a597723ae021cc811193f79153b1,sell,2026-05-27 20:42:23,buy,2026-05-27 20:45:35,3.2,38349911.9,128745958.18
0xd4d2960e1e58a597723ae021cc811193f79153b1,sell,2026-05-28 08:08:35,buy,2026-05-28 08:47:23,38.8,4537125.04,16334779.64
0x4b5f73c7f613a0254a8e969550c56665ad9a10ea,sell,2026-05-27 18:56:59,buy,2026-05-27 18:56:59,0.0,3.0,12.0
0x4c27d34b1477cc7726055ba758fe8f2bf61e7081,buy,2026-05-28 06:06:23,sell,2026-05-28 06:08:59,2.6,962733942.01,1041172988.0
0x1e9f7996dcc0115a7ce06d71919ffaf2400c20e4,buy,2026-05-27 17:45:47,sell,2026-05-27 17:59:11,13.4,10000000.0,10000000.0
0xd5f46de410089f17e6b41d424b5e7a31662bb54b,buy,2026-05-27 18:53:23,sell,2026-05-27 19:01:47,8.4,7710081.0,7710081.0
