voter,vp,choice,proposal_id
0x8436E795D0EE4F61122d85aEf040CaB22A7F812D,1.49889324,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x53Da33F96ecFFE1CDf3842883c9ba3ba3b49c14B,1.492705843,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x0f53809658e5364bBDB368579D2B3D6052cC66D1,1.488991541,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x9e602c1920443F01Cb100a57A7F894df8Eb42f66,1.379202666,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x9d5765595a92c560c8759d2a9c375C66123765a5,1.325619291,2,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x35E8171BB85a471C8e6B379C19515006dABFf236,1.19616632,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x4d9Ba778B7f121e58E5d3BB6aef514e035A7c7F5,1.134728983,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xAAB1C388B0A5E2e58debA05cD8639c69AeaaD830,1.122166437,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x42f1D371605382b225990787483ebac9E27db4a9,1.104939405,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xCCE982EeD8A17d194045DB69b96c4469BD700955,1.104628246,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xa8E17bE2B11E744561859C9C31EA060EE30bf37c,1.098806265,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x33B0Ce7f1B694d1F5B4Ef1E0eE785800239Ee2DC,1.096170562,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x25BCCe9f1C327610a5BC6F95024B5a5b527680fD,1.093081801,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x751E3c266e997dE0B1f95bD118d562f47fAE2488,1.08698593,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xb3bfC42a7826d3558cAEa6179a258F5C0CD36CE4,1.08575291,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x5f10C39491051091ac0e29a69DF4bd348147998f,1.072491786,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x88F659b4B6D5614B991c6404b34f821e10390eC0,1.049570354,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xdf770070c0e82DD0c9d66Dfb4F2ca77e496Fb57C,1.04327695,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x0555D610DeAC42b763b77e191455D7DFc42c6D70,1.028988564,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xA97CA732232Cd2ACaB9038a1943fe2A79FA1cCc8,1.027328877,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x9895AD88F97dcbfa25B335D0e01f8200E022384c,1.018808448,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xB6E190941cB8388b7CcB23856D446f1DA407A04E,1.01611682,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x95496c3Ff60D4fDDd3c3B18baD2df08353A5A4A0,1.015707516,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x8D59b9Fc743cB2d80b47AD8Bc0571432B45c68d2,1.012046059,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x06C8cB896E4F4E9B35d341792FA64fBD3A12ae6b,1.004656417,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x768E4AfBB8E8A8252aCa1d35b6B2537E3dF3caA4,1.002435369,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xD57dcb52b93Dfd5133084779a4cBC57Cbb9b6c32,1.001154737,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x3426995466CCBFaa6bec5b929bf3403990525404,1.0001,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xCe5797D7E5bAAe1a6fFf95fe340B32bD693C70F0,1.0001,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xb1315308f01f9Ffcb17486b2FeC55DCc7c3ac27a,1.0001,2,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x4D32D90D6535bD4e7eaBaa27EE72932cB214BbfA,1.0001,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x659F20EE4DEA1F11f5c840c410337Fbac3E5DADC,1.0001,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xaF9005861BB8E24a06960B2c389FA8e51a6C7b3b,1.0001,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x1f8231Ef50E99D361B5252A24EC2eC44285367e1,1.0001,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x8bE9939D07C15490e4Cb1563EF8a7e44E2a3F4d4,0.99416683,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x4D4AC65513fEe380c596ac9EdfaC588782831bdf,0.814516537,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xbfD14b2201065B5b501975A7D132F4A299704f66,0.8001,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x4EFf2F739B1B0d5719662f9094A06A742ed99c43,0.644668635,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x896212Da5D35Dbf0e7C57A37133F0C97033F82b5,0.507401646,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xab62265D80c6B88A01FFe8a7Edd58C2a1a7B0db6,0.493310334,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xd0788c420418a1E5fEBBb6c210715F36Ca885C1B,0.489331336,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x0e198F0c34A93aea5F6bD3967cbD1B8F8c8C8319,0.464626476,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x1d202DAfF74d2a6F124A95b588fBd010b896D267,0.454604029,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x6441C1CCa2Cc055b962028F36f87c01eF2837C65,0.448,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x409E5ee14B3dA7E908bB92EB884afB241a6504bD,0.438,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x7008d154839515b52400C206d7066C702B7f1bE2,0.438,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x5A3D7866A8B80A4DaA8374a5932067aD2035D2Ef,0.438,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x986B2469eb23b7767F00983b8e078530e3581174,0.438,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x701f4c9f4562e6bB6Ac315623d5FC1e4804F2F2c,0.437,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x7913e229F6b447aD4159df9dD5f9915E956aa745,0.437,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xbeA79F54fE4AFD1492A654AD26682A6BfFF2b718,0.436,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x17241c2183c1032cFf9d789694b496c16fFEBdd5,0.436,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x93d86db7a206f35B462Fde24B7E65059D5eaC1eb,0.434,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xa652c2C693d0cEe3C1cD1AC799c1a5ccD9CB8F9F,0.415390639,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xeBd612d857e40C38a2241ba6F57414B3F44Df17d,0.359980051,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x9D375719442C8D57CA9658eDe45336787648381F,0.25032025,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xADD2F9A2c8B74cFB1B8e8fd563531A46B86A8995,0.221998389,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x989b473579b938fFC956C6d12A01Ad53C0953329,0.220091981,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x9270b244b7401E0ef4F0af9a6a24ba8183f1dB32,0.213181303,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xb67ca19DF4d2f7E31Ebf4dc0Ff66Fce80280914c,0.166601994,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x256e0c8490C693068A7D7923c2535f1AA761F35c,0.166469973,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x2ED0F4e9769591d8eff038ABD884187c8101C7f3,0.152998065,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x8cb1Ea40766977512A29d1E7D87EFD833C3e001d,0.147885901,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0x2d9539438A9cD63e05d4C1678DbCD5D0e38B9b0A,0.123519352,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
0xD0E9b3c1034BE492Fd299E05e89A5aA868a80553,0.106889577,1,0xd41b2db93c0348e9061bf786dfcb610d8f35e8447f2e90b37b8f30a9b1a3091e
